"Attempt.ID","Location.ID","Latitude","Longitude","Subnational.Code","Substrate.Relationship","Substrate","Substrate.Other.Description","Height.m","Cavity.Entrance.Diameter.cm","Entrance.Orientation","Elevation.m","Habitat.1m","Habitat.100m","Location.Entry.Technique","Observer.ID","Species.Code","Species.Name","Year","Predator.Guard","Predator.Guard.Other","First.Lay.Date","First.Lay.Date.Estimated","Visited.During.Egg.Laying","Hatch.Date","Hatch.Date.Estimated","Fledge.Date","Fledge.Date.Estimated","Young.Fledged","Clutch.Size","Young.Total","Unhatched.Eggs","Outcome","Attempt.Entry.Technique"
"A1354896","L9472884",43.401548,-88.223796,"US-WI","on","ltrbra","",2.286,NA,"",NA,"ry","ry","/GOOGLE_MAP/ZOOM:12","obsr1341680","amerob","American Robin",2019,"","","",NA,0,"",NA,"2019-06-27",1,3,3,3,0,"s1","NestWatch Web 2.0.2"
"A1366465","L9729465",40.044485,-75.540605,"US-PA","on","ltrbra","",7.62,NA,"",135.9408,"ry","ry","/GOOGLE_MAP/ZOOM:20","obsr999106","amerob","American Robin",2019,"","","2019-05-19",NA,0,"2019-06-03",1,"",NA,0,3,0,0,"f3","NestWatch Web 2.0.2"
"A1353638","L9011756",42.067828,-87.768617,"US-IL","on","buildi","",2.4384,NA,"",199.0344,"ry","ry","/GOOGLE_MAP/ZOOM:20","obsr1318761","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
"A1360143","L3659123",42.5405333,-76.5347956,"US-NY","in","nesbox","",2.286,4,"e",NA,"for","for","/GOOGLE_MAP/ZOOM:unknown","obsr249803","amerob","American Robin",2019,"","","2019-04-18",NA,NA,"2019-05-03",NA,"",NA,0,4,4,0,"f3","NestWatch Web 2.0.2"
"A1356893","L9559384",40.429435,-74.675271,"US-NJ","on","ltrbra","",2.1336,NA,"",33,"for","ry","/GOOGLE_MAP/ZOOM:20","obsr1404355","amerob","American Robin",2019,"","","2019-06-26",1,NA,"2019-07-09",0,"",NA,NA,3,2,NA,"u1","NestWatch Web 2.0.2"
"A1356161","L9525732",38.111749,-78.878598,"US-VA","in","busshr","",1.8288,NA,"",396.24,"ry","ag","/GOOGLE_MAP/ZOOM:20","obsr928165","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"f6","NestWatch Web 2.0.2"
"A1357642","L7802922",39.142414,-76.733934,"US-MD","in","nesbox","",1.524,NA,"s",NA,"ry","ry","latlong","obsr381480","amerob","American Robin",2019,"no","","",1,NA,"",NA,"2019-08-02",0,3,NA,NA,NA,"s1","NestWatch Web 2.0.2"
"A1354774","L9468487",46.819918,-67.826142,"US-ME","on","other","In the crook of a live tree and dead tree branch",1.8288,NA,"",NA,"for","for","latlong","obsr1129584","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
"A1352497","L9406368",40.243599,-75.587347,"US-PA","in","busshr","",1.8288,NA,"",6.096,"ry","ry","/GOOGLE_MAP/ZOOM:20","obsr2330","amerob","American Robin",2019,"","","2019-05-30",1,NA,"2019-06-12",1,"2019-06-27",1,3,3,3,0,"s1","NestWatch Web 2.0.2"
"A1366697","L9748975",38.832647,-75.369621,"US-DE","on","buildi","",3.048,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr503773","amerob","American Robin",2019,"","","",1,NA,"",1,"2019-08-05",0,4,4,4,0,"s1","NestWatch Mobile App v1.3.2"
"A1366722","L9754168",42.077438,-75.42794,"US-NY","under","poptow","",2.4384,NA,"",390.144,"","","NestWatch Mobile App v1.3.2","obsr805099","amerob","American Robin",2019,"","","",1,NA,"2019-08-05",1,"",1,0,3,1,1,"f2","NestWatch Mobile App v1.3.2"
"A1342237","L9032886",42.3791161,-82.4003067,"CA-ON","in","busshr","",1,NA,"",0,"","","NestWatch Mobile App v1.2.5","obsr181556","amerob","American Robin",2019,"","","",1,NA,"",1,"",1,NA,NA,NA,NA,"f3","NestWatch Mobile App v1.2.5"
"A1350751","L9348270",42.815547,-89.634016,"US-WI","in","busshr","",0.9144,NA,"",268.0106,"park","ry","latlong","obsr1254759","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
"A1349036","L7269721",42.541849,-85.6812393,"US-MI","in","busshr","",0.9144,NA,"",0,"ry","ry","NestWatch Mobile App v1.2.0","obsr352485","amerob","American Robin",2019,"","","2019-05-14",1,NA,"2019-06-02",1,"2019-06-12",1,NA,NA,NA,NA,"s1","NestWatch Mobile App v1.3.0"
"A1356615","L9544509",44.271929,-75.390649,"US-NY","under","buildi","",NA,NA,"",NA,"ry","for","geocode","obsr1401586","amerob","American Robin",2019,"","","2019-06-18",0,1,"2019-07-02",0,"2019-07-15",0,3,3,3,0,"s1","NestWatch Web 2.0.2"
"A1355552","L9499554",40.103605,-74.082586,"US-NJ","in","other","In my hanging fern on my back porch",4.2672,NA,"",30.48,"ry","ry","geocode","obsr1397038","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,5,"f6","NestWatch Web 2.0.2"
"A1356405","L9537096",41.744102,-74.086028,"US-NY","in","ltrbra","",12.192,NA,"",NA,"ry","ry","latlong","obsr262481","amerob","American Robin",2019,"","","2019-06-17",1,0,"2019-06-29",1,"",NA,0,NA,0,NA,"f2","NestWatch Web 2.0.2"
"A1366453","L7610616",42.364286,-73.531401,"US-NY","in","busshr","",1.0668,NA,"",NA,"ry","for","/GOOGLE_MAP/ZOOM:20","obsr940388","amerob","American Robin",2019,"","","2019-07-11",0,1,"2019-07-25",0,"2019-08-09",1,NA,4,4,0,"u2","NestWatch Web 2.0.2"
"A1343434","L7605860",35.795729,-78.632102,"US-NC","on","buildi","",2.4384,NA,"",NA,"ry","ry","latlong","obsr181149","amerob","American Robin",2019,"","","",1,NA,"",1,"",1,0,NA,0,NA,"f3","NestWatch Mobile App v1.2.5"
"A1345478","L9107083",43.044914,-87.901638,"US-WI","on","buildi","",15.24,NA,"",182.88,"ry","ry","latlong","obsr164793","amerob","American Robin",2019,"","","2019-04-28",0,NA,"2019-05-13",1,"",1,NA,NA,NA,NA,"","NestWatch Mobile App v1.2.5"
"A1352894","L9415032",41.543673,-71.063495,"US-MA","on","buildi","",NA,NA,"",NA,"ry","","/GOOGLE_MAP/ZOOM:18","obsr1386631","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
"A1340981","L8989755",39.039551,-94.605826,"US-MO","on","poptow","",10,NA,"",0,"","","NestWatch Mobile App v1.2.5","obsr23559","amerob","American Robin",2019,"","","",1,NA,"2019-04-26",1,"2019-05-11",1,3,3,3,0,"s1","NestWatch Mobile App v1.2.5"
"A1343504","L9078846",33.409993,-101.675429,"US-TX","under","buildi","",2.4384,NA,"",952.8048,"ry","ag","/GOOGLE_MAP/ZOOM:18","obsr884246","amerob","American Robin",2019,"","","2019-04-15",1,NA,"2019-04-30",1,"",1,0,4,3,1,"f2","NestWatch Mobile App v1.2.5"
"A1352216","L9395541",49.334922,-123.263261,"CA-BC","on","ltrcav","",5,NA,"s",0,"","","NestWatch Mobile App v1.3.2","obsr891455","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Mobile App v1.3.2"
"A1368100","L9849469",34.2384949,-118.528038,"US-CA","in","ltrbra","",3.048,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr785103","amerob","American Robin",2019,"","","",1,NA,"",1,"",1,NA,NA,NA,NA,"u1","NestWatch Mobile App v1.3.2"
"A1352563","L7644824",40.748837,-74.869897,"US-NJ","on","buildi","",3.048,NA,"",289.56,"oth","for","geocode","obsr33321","amerob","American Robin",2019,"","","2019-05-08",1,NA,"2019-05-20",1,"2019-06-03",1,4,4,4,0,"s1","NestWatch Web 2.0.2"
"A1351652","L9373978",40.667395,-77.910123,"US-PA","on","buildi","",3.81,NA,"",NA,"park","for","/GOOGLE_MAP/ZOOM:20","obsr2930","amerob","American Robin",2019,"","","",1,1,"",NA,"",NA,0,2,0,2,"u1","NestWatch Web 2.0.2"
"A1366557","L9487141",39.776423,-75.211849,"US-NJ","under","buildi","",1.8288,NA,"",18.8976,"ry","ry","/GOOGLE_MAP/ZOOM:21","obsr1317178","amerob","American Robin",2019,"","","2019-07-20",1,1,"2019-08-02",0,"2019-08-17",1,4,4,4,0,"s1","NestWatch Web 2.0.2"
"A1352822","L9414145",44.965578,-93.332349,"US-MN","in","ltrbra","",3.048,NA,"",NA,"campus","oth","/GOOGLE_MAP/ZOOM:20","obsr942930","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
"A1352495","L9406368",40.243599,-75.587347,"US-PA","in","busshr","",1.8288,NA,"",6.096,"ry","ry","/GOOGLE_MAP/ZOOM:20","obsr2330","amerob","American Robin",2019,"","","2019-04-18",1,NA,"2019-05-02",0,"2019-05-17",1,4,4,4,0,"s1","NestWatch Web 2.0.2"
"A1343444","L9077557",36.2679138,-95.791832,"US-OK","in","other","",NA,NA,"",0,"","","NestWatch Mobile App v1.2.5","obsr1231796","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Mobile App v1.2.5"
"A1355453","L9495508",40.423126,-75.535141,"US-PA","in","busshr","",1.524,NA,"",NA,"ry","ry","geocode","obsr1077216","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
"A1354776","L7587031",40.118835,-77.202025,"US-PA","in","ltrbra","",1.8288,NA,"",NA,"ry","ry","/GOOGLE_MAP/ZOOM:19","obsr8860","amerob","American Robin",2019,"","","",1,NA,"",1,"2019-06-26",1,3,3,3,0,"s1","NestWatch Mobile App v1.3.2"
"A1348646","L9274195",41.9316521,-89.0793762,"US-IL","on","buildi","",2.1336,NA,"",0,"","","NestWatch Mobile App v1.3.0","obsr1363212","amerob","American Robin",2019,"","","",1,NA,"",1,"",1,NA,NA,NA,NA,"u2","NestWatch Mobile App v1.3.0"
"A1354833","L9469741",53.498502,-113.444927,"CA-AB","on","poptow","",2.1336,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr1393354","amerob","American Robin",2019,"","","",1,NA,"",1,"2019-06-08",1,2,3,2,0,"s1","NestWatch Mobile App v1.3.2"
"A1355532","L9499038",44.30702,-72.065735,"US-VT","under","buildi","",1.8288,NA,"",NA,"ry","for","/GOOGLE_MAP/ZOOM:19","obsr1396994","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
"A1355548","L9499554",40.103605,-74.082586,"US-NJ","in","other","In my hanging fern on my back porch",4.2672,NA,"",30.48,"ry","ry","geocode","obsr1397038","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1","NestWatch Web 2.0.2"
"A1372165","L9971524",47.693794,-122.104736,"US-WA","in","busshr","",1.2192,NA,"",106.0704,"ry","ry","geocode","obsr1453257","amerob","American Robin",2019,"","","2019-04-10",1,0,"2019-04-23",1,"2019-05-09",1,3,4,4,0,"u2","NestWatch Web 2.0.2"
"A1349119","L9291455",47.170122,-120.981639,"US-WA","on","buildi","",2.4384,NA,"",0,"","","NestWatch Mobile App v1.3.0","obsr125957","amerob","American Robin",2019,"","","",1,NA,"",1,"",1,NA,NA,NA,NA,"u3","NestWatch Mobile App v1.3.0"
"A1356196","L9527028",53.623238,-113.340584,"CA-AB","in","poptow","",3.3528,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr1400321","amerob","American Robin",2019,"","","2019-06-11",0,NA,"2019-06-23",0,"",NA,NA,4,2,2,"s1","NestWatch Mobile App v1.3.2"
"A1356777","L9520900",43.186147,-73.006904,"US-VT","on","buildi","",3.048,NA,"",322.17,"ry","for","geocode","obsr1399583","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
"A1343234","L9070023",40.8110199,-73.9647522,"US-NY","on","ltrcav","",3,NA,"",0,"","","NestWatch Mobile App v1.2.5","obsr1190993","amerob","American Robin",2019,"","","",1,NA,"",1,"",1,NA,NA,NA,NA,"u1","NestWatch Mobile App v1.2.5"
"A1343489","L9078933",45.594664,-122.72434,"US-OR","on","buildi","",4.572,NA,"",NA,"ry","ry","/GOOGLE_MAP/ZOOM:19","obsr958734","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.1"
"A1357539","L9584068",39.063855,-84.20949,"US-OH","in","ltrbra","",NA,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr1345648","amerob","American Robin",2019,"","","",1,NA,"",1,"",1,NA,NA,NA,NA,"f3","NestWatch Mobile App v1.3.2"
"A1349043","L9286403",48.123192,-123.667583,"US-WA","on","nesbox","",5.1816,NA,"e",0,"","","NestWatch Mobile App v1.3.0","obsr1517","amerob","American Robin",2019,"","","",1,NA,"2019-05-16",1,"",1,NA,NA,NA,NA,"","NestWatch Mobile App v1.3.0"
"A1351034","L9357273",33.431127,-86.727963,"US-AL","in","ltrbra","",NA,NA,"",NA,"ry","ry","/GOOGLE_MAP/ZOOM:20","obsr1276100","amerob","American Robin",2019,"","","",NA,1,"",NA,"",NA,0,NA,0,NA,"u3","NestWatch Web 2.0.2"
"A1352266","L9398230",64.557036,-165.342961,"US-AK","on","other","Nest is built on the back rack of an abandoned snowmobile on the roadside",0.4572,NA,"",30.48,"road","tun","/GOOGLE_MAP/ZOOM:18","obsr1378735","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
"A1373344","L10052012",36.106183,-95.7543875,"US-OK","in","other","",0.6096,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr1467919","amerob","American Robin",2019,"","","",1,NA,"",1,"",1,NA,NA,NA,NA,"u1","NestWatch Mobile App v1.3.2"
"A1358913","L9651152",43.037208,-82.193177,"CA-ON","in","nesbox","",1.524,NA,"w",0,"","","NestWatch Mobile App v1.3.2","obsr1367175","amerob","American Robin",2019,"","","2019-07-17",1,NA,"2019-07-30",1,"",1,0,3,1,2,"f2","NestWatch Mobile App v1.3.2"
"A1343223","L9069856",40.8078384,-73.967865,"US-NY","on","ltrbra","",NA,NA,"",0,"","","NestWatch Mobile App v1.2.5","obsr1190993","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Mobile App v1.2.5"
"A1359474","L9676385",39.362513,-76.690442,"US-MD","on","ltrbra","",3.6576,NA,"",NA,"ry","ry","/GOOGLE_MAP/ZOOM:21","obsr1417276","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,0,NA,0,NA,"f6","NestWatch Web 2.0.2"
"A1359496","L9678232",39.522201,-104.784545,"US-CO","in","ltrbra","",7.62,NA,"",1609.344,"ry","ry","/GOOGLE_MAP/ZOOM:20","obsr1417559","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
"A1341779","L9017275",35.382302,-97.548823,"US-OK","on","buildi","",6.6,NA,"",0,"","","NestWatch Mobile App v1.2.5","obsr384181","amerob","American Robin",2019,"","","2019-04-03",1,NA,"2019-04-21",1,"2019-04-30",1,3,3,3,0,"s1","NestWatch Mobile App v1.2.5"
"A1348645","L9274154",41.9316177,-89.0800858,"US-IL","on","buildi","",2.4384,NA,"",0,"","","NestWatch Mobile App v1.3.0","obsr1363212","amerob","American Robin",2019,"","","",1,NA,"",1,"",1,NA,NA,NA,NA,"f2","NestWatch Mobile App v1.3.0"
"A1352048","L9386732",44.920359,-93.147028,"US-MN","on","buildi","",2.4384,NA,"",NA,"ry","for","latlong","obsr1383080","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Mobile App v1.3.2"
"A1352049","L9386732",44.920359,-93.147028,"US-MN","on","buildi","",2.4384,NA,"",NA,"ry","for","latlong","obsr1383080","amerob","American Robin",2019,"","","2019-05-30",1,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Mobile App v1.3.2"
"A1343943","L4655738",41.2629196,-77.2738966,"US-PA","in","nesbox","",1.9812,NA,"n",NA,"orch-vin","ry","/GOOGLE_MAP/ZOOM:unknown","obsr587266","amerob","American Robin",2019,"","","",1,NA,"",1,"2019-05-20",1,4,4,4,0,"s1","NestWatch Mobile App v1.2.5"
"A1353079","L9419451",37.9724655,-87.4709854,"US-IN","on","poptow","",3.9624,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr1387301","amerob","American Robin",2019,"","","",1,NA,"2019-06-11",1,"2019-06-23",1,3,NA,3,NA,"s1","NestWatch Mobile App v1.3.2"
"A1353150","L9421406",38.326241,-90.143685,"US-IL","on","other","Gutter Downspout",2.4384,NA,"",213.36,"ry","ag","geocode","obsr1324338","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
"A1367455","L9808766",35.745186,-81.552055,"US-NC","on","buildi","",4.572,NA,"",NA,"for","for","/GOOGLE_MAP/ZOOM:20","obsr1431568","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,0,2,0,2,"f6","NestWatch Web 2.0.2"
"A1346243","L9176852",39.245834,-84.373497,"US-OH","on","ltrbra","",11,NA,"",0,"","","NestWatch Mobile App v1.2.5","obsr1350384","amerob","American Robin",2019,"","","",1,NA,"2019-04-30",1,"",1,NA,NA,NA,NA,"f1","NestWatch Mobile App v1.2.5"
"A1354107","L9230154",40.788756,-77.915474,"US-PA","on","buildi","",4.572,NA,"",396.24,"ry","ry","geocode","obsr651706","amerob","American Robin",2019,"","","2019-06-01",1,1,"2019-06-14",1,"2019-06-27",1,2,3,3,NA,"s1","NestWatch Web 2.0.2"
"A1354298","L9458626",35.909861,-94.968064,"US-OK","in","ltrbra","",4.572,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr573904","amerob","American Robin",2019,"","","",1,NA,"",1,"2019-06-14",1,NA,3,3,0,"u2","NestWatch Mobile App v1.3.2"
"A1349360","L9303938",39.7020073,-104.8329315,"US-CO","under","buildi","",2.4384,NA,"",0,"","","NestWatch Mobile App v1.3.0","obsr1095461","amerob","American Robin",2019,"","","2019-05-18",1,NA,"",1,"",1,NA,NA,NA,NA,"u3","NestWatch Mobile App v1.3.0"
"A1354363","L9385277",41.515967,-87.486205,"US-IN","on","buildi","",4.572,NA,"",NA,"oth","for","/GOOGLE_MAP/ZOOM:18","obsr1382881","amerob","American Robin",2019,"","","2019-05-29",0,1,"2019-06-11",0,"",NA,0,3,3,0,"s1","NestWatch Web 2.0.2"
"A1368485","L9871145",40.5379944,-76.0490799,"US-PA","in","busshr","",1.524,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr1246267","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Mobile App v1.3.2"
"A1345615","L9152232",40.8081055,-73.966629,"US-NY","on","ltrbra","",NA,NA,"",0,"","","NestWatch Mobile App v1.2.5","obsr1190993","amerob","American Robin",2019,"","","2019-05-07",0,NA,"",1,"",1,NA,NA,NA,NA,"","NestWatch Mobile App v1.2.5"
"A1355066","L9483449",44.753323,-116.416066,"US-ID","in","busshr","",1.2192,NA,"",944.88,"ry","ag","/GOOGLE_MAP/ZOOM:20","obsr457584","amerob","American Robin",2019,"","","",NA,NA,"2019-06-30",1,"2019-07-13",0,4,4,4,0,"s1","NestWatch Web 2.0.2"
"A1355253","L9489629",42.345627,-85.521336,"US-MI","on","ltrbra","",2.5908,NA,"",NA,"ry","ry","/GOOGLE_MAP/ZOOM:20","obsr495658","amerob","American Robin",2019,"","","2019-06-10",1,0,"2019-06-26",0,"2019-07-11",1,4,4,4,0,"s1","NestWatch Web 2.0.2"
"A1355146","L9487141",39.776423,-75.211849,"US-NJ","under","buildi","",1.8288,NA,"",18.8976,"ry","ry","/GOOGLE_MAP/ZOOM:21","obsr1317178","amerob","American Robin",2019,"","","2019-06-16",1,NA,"2019-06-30",1,"2019-07-15",1,3,3,3,0,"s1","NestWatch Web 2.0.2"
"A1346786","L889759",38.6058469,-90.2882407,"US-MO","on","buildi","",9,NA,"",NA,"ry","ry","geocode","obsr215825","amerob","American Robin",2019,"","","2019-05-05",0,NA,"2019-05-19",1,"2019-06-01",0,3,3,3,0,"s1","NestWatch Mobile App v1.2.5"
"A1355714","L9504130",45.315246,-73.109065,"CA-QC","in","nesbox","",2,15,"s",NA,"ag","ag","/GOOGLE_MAP/ZOOM:17","obsr1355967","amerob","American Robin",2019,"no","","",NA,0,"",NA,"2019-06-19",1,3,3,3,0,"s1","NestWatch Web 2.0.2"
"A1355881","L5943075",40.6921001,-111.8963742,"US-UT","on","poptow","",3.6576,NA,"",NA,"com-ind","park","/GOOGLE_MAP/ZOOM:19","obsr748173","amerob","American Robin",2019,"","","2019-06-02",1,NA,"2019-06-12",1,"2019-07-02",1,NA,NA,NA,NA,"s1","NestWatch Mobile App v1.3.2"
"A1344701","L9119493",42.966247,-81.257998,"CA-ON","on","buildi","",2,NA,"",0,"","","NestWatch Mobile App v1.2.5","obsr181556","amerob","American Robin",2019,"","","2019-04-25",1,NA,"",1,"2019-05-24",1,3,4,4,0,"s1","NestWatch Mobile App v1.2.5"
"A1356198","L9527028",53.623238,-113.340584,"CA-AB","in","poptow","",3.3528,NA,"",0,"ry","ry","NestWatch Mobile App v1.3.2","obsr1400321","amerob","American Robin",2019,"","","2019-06-12",0,NA,"2019-06-24",1,"",1,NA,NA,NA,NA,"","NestWatch Mobile App v1.3.2"
"A1356561","L9542909",40.116323,-75.165225,"US-PA","under","buildi","",1.9812,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr207808","amerob","American Robin",2019,"","","",1,NA,"2019-06-28",1,"2019-07-15",1,2,2,2,0,"s1","NestWatch Mobile App v1.3.2"
"A1346922","L9217550",41.2964897,-82.6407623,"US-OH","in","busshr","",NA,NA,"",0,"","","NestWatch Mobile App v1.2.5","obsr176008","amerob","American Robin",2019,"","","",1,NA,"",1,"",1,4,4,4,0,"s1","NestWatch Mobile App v1.2.5"
"A1345269","L946204",35.7956682,-78.632164,"US-NC","in","buildi","",3.048,15.24,"sw",NA,"ry","ry","geocode","obsr181149","amerob","American Robin",2019,"","","",1,NA,"",1,"",1,NA,NA,NA,NA,"f3","NestWatch Mobile App v1.2.5"
"A1357669","L9591974",47.064608,-122.960263,"US-WA","on","ssdtre","",1.524,NA,"",NA,"for","for","/GOOGLE_MAP/ZOOM:17","obsr626263","amerob","American Robin",2019,"","","2019-07-01",1,NA,"2019-07-14",1,"2019-07-25",NA,NA,4,NA,NA,"u1","NestWatch Web 2.0.2"
"A1356810","L9415032",41.543673,-71.063495,"US-MA","on","buildi","",NA,NA,"",NA,"ry","","/GOOGLE_MAP/ZOOM:18","obsr1386631","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
"A1357304","L9572823",46.686875,-92.46233,"US-MN","on","ltrbra","",2.4384,NA,"",358.14,"ry","for","/GOOGLE_MAP/ZOOM:20","obsr1148962","amerob","American Robin",2019,"","","2019-06-15",1,NA,"2019-06-27",1,"",NA,NA,NA,2,NA,"f2","NestWatch Web 2.0.2"
"A1357688","L9061590",36.079217,-79.583755,"US-NC","in","nesbox","",1.524,3.81,"w",212.1408,"ry","oth","/GOOGLE_MAP/ZOOM:18","obsr1164742","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,2,2,2,0,"s1","NestWatch Web 2.0.2"
"A1357927","L9605564",48.6366806,-96.7938919,"US-MN","in","ltrbra","",0.9144,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr790665","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Mobile App v1.3.2"
